Business_ID,Industry,Employee_Count,Revenue,Expenses,Profit_Margin,Loans_Taken,Loan_Default,Cash_Reserves,Financial_Stress_Score,Financial_Stress_Flag
B204211,Manufacturing,44,500000.0,418668.96,16.27,0,0,68915.56,49.3,0
B207384,,36,500000.0,455318.94,8.94,0,0,53613.53,53.23,0
B200617,Retail,42,500000.0,423618.18,15.28,1,0,66268.67,51.64,0
B206660,Retail,38,500000.0,501799.82,,1,0,22321.72,58.37,0
B209691,Retail,20,500000.0,361698.58,27.66,1,0,61275.72,43.21,0
B205933,Services,11,500000.0,402600.96,19.48,1,1,80758.87,64.96,1
B202602,retail,38,500000.0,372196.22,25.56,1,1,55808.83,72.72,1
B205688,Healthcare,6,500000.0,404240.46,19.15,1,0,83019.71,63.32,1
B205992,Healthcare,6,500000.0,368982.05,26.2,1,0,70585.87,54.43,0
B202763,Manufacturing,25,500000.0,391468.43,21.71,0,0,60256.85,60.75,1
B203415,Services,24,500000.0,330422.7,33.92,0,0,90375.64,48.68,0
B202356,Food,3,500000.0,357682.37,28.46,0,0,69620.71,56.6,0
B200032,Manufacturing,40,1057806.13,807056.89,23.7,0,0,552463.83,55.62,0
B202628,Food,21,500000.0,367048.43,,0,0,88206.61,48.41,0
B208280,Manufacturing,27,500000.0,371368.78,25.73,0,0,104311.74,43.73,0
B207889,Manufacturing,42,2371094.06,405388.57,18.92,1,1,81248.18,65.32,1
B202277,Food,16,593581.89,444683.12,25.08,0,0,169291.02,42.99,0
B207903,Retail,36,581811.36,452617.69,22.21,0,0,81397.43,53.49,0
B207821,Manufacturing,50,711429.48,549227.37,22.8,0,0,134588.77,48.72,0
B206982,Manufacturing,53,1951055.77,340846.32,31.83,0,0,111353.53,53.88,0
B200188,Retail,27,500000.0,431819.81,13.64,0,0,44197.54,55.61,0
B201278,Food,12,500000.0,377577.58,24.48,0,0,39858.89,48.68,0
B209182,Healthcare,11,500000.0,412111.89,17.58,1,0,56496.9,49.19,0
B203613,Manufacturing,35,500000.0,420923.31,15.82,1,0,78585.68,55.76,0
B207798,Healthcare,36,500000.0,346967.56,30.61,0,0,80907.01,41.4,0
B201374,Manufacturing,33,500000.0,407006.91,18.6,0,0,47857.25,57.49,0
B201097,,33,500000.0,405337.08,18.93,0,0,74165.93,56.49,0
B200577,Services,29,500000.0,385164.41,22.97,0,0,98739.44,48.9,0
B208272,Services,19,574684.59,515393.87,10.32,1,0,69930.96,60.93,1
B200786,Manufacturing,42,500000.0,394762.55,21.05,1,0,69160.83,51.15,0
B200301,Retail,31,500000.0,411534.36,17.69,1,0,47856.76,56.38,0
B204459,Food,16,500000.0,390095.71,21.98,0,0,,43.46,0
B205850,Services,25,500000.0,361537.46,27.69,0,0,78278.27,51.83,0
B205665,Manufacturing,59,500000.0,390433.32,21.91,0,0,57555.91,50.73,0
B208119,Services,19,642096.74,464259.14,27.7,0,0,107664.48,55.77,0
B206550,IT,3,536057.43,392651.62,26.75,1,0,62700.55,44.0,0
B207590,IT,36,500000.0,346280.61,30.74,0,0,101576.84,47.97,0
B204556,IT,3,500000.0,403705.89,19.26,0,0,44287.02,54.38,0
B208479,Retail,25,689394.68,514350.88,25.39,0,0,106519.17,36.02,0
B202975,Services,23,500000.0,351838.99,29.63,0,0,35143.68,41.47,0
B209082,Retail,17,500000.0,398218.07,20.36,0,0,98446.66,50.3,0
B208571,Food,7,500000.0,413968.03,17.21,0,0,61103.98,54.96,0
B200110,IT,21,500000.0,399363.35,20.13,0,0,87921.07,52.14,0
B206227,Healthcare,23,500000.0,372127.25,25.57,0,0,51573.96,51.44,0
B208522,Retail,29,500000.0,423897.75,15.22,0,0,,53.53,0
B200184,Services,13,500000.0,385538.52,22.89,0,0,75689.3,46.78,0
B204191,Manufacturing,47,500000.0,387676.43,22.46,0,0,71319.05,52.34,0
B203709,Services,7,500000.0,383275.64,23.34,0,0,86758.9,52.41,0
B208310,Food,25,500000.0,1430883.02,25.04,1,0,72263.74,52.56,0
B209650,Healthcare,30,500000.0,394074.95,21.19,1,0,67710.81,51.1,0
B205654,IT,18,500000.0,380141.6,23.97,1,0,88115.44,62.64,1
B205966,Services,3,711042.55,529238.28,25.57,0,0,,48.78,0
B201727,Food,16,500000.0,336878.81,32.62,0,0,91670.57,37.66,0
B205263,,18,500000.0,346377.64,30.72,0,0,85517.32,51.73,0
B208669,Food,3,2812162.66,374713.26,25.06,0,0,48818.01,45.4,0
B207517,Food,25,500000.0,386275.6,22.74,0,0,76430.66,45.43,0
B206575,Manufacturing,59,500000.0,387992.32,22.4,1,0,262231.36,59.68,0
B204377,Healthcare,28,500000.0,444636.07,11.07,0,0,38766.56,56.29,0
B208017,Services,23,500000.0,369060.36,26.19,0,0,64976.27,46.31,0
B206106,Services,45,500000.0,363926.05,27.21,0,0,46325.67,47.11,0
B200180,Healthcare,18,500000.0,360556.01,27.89,0,0,52625.85,46.74,0
B203663,Manufacturing,11,500000.0,394636.97,21.07,1,0,71823.62,60.31,1
B209552,Retail,14,500000.0,462681.22,7.46,0,0,48440.86,60.06,1
B209809,Manufacturing,52,508123.81,458253.72,9.81,1,0,66751.35,56.12,0
B202872,,12,500000.0,420308.59,,0,0,85764.1,52.26,0
B207524,,31,500000.0,399208.41,20.16,0,0,73254.07,54.7,0
B204906,Retail,43,500000.0,452502.24,9.5,1,0,64860.96,52.52,0
B200400,Manufacturing,36,500000.0,435264.76,12.95,0,0,45372.49,47.3,0
B208690,Retail,31,500000.0,447697.6,10.46,1,0,79484.65,56.74,0
B200686,Retail,24,500000.0,426768.95,14.65,0,0,,50.67,0
B201563,Retail,45,500000.0,404032.05,19.19,1,1,48385.5,70.04,1
B201751,Retail,32,500000.0,421075.35,15.78,0,0,68064.82,64.1,1
B205108,Healthcare,5,500000.0,367062.92,26.59,0,0,95548.6,42.52,0
B206476,Services,28,500000.0,359613.2,28.08,0,0,101860.97,41.76,0
B202066,Manufacturing,45,500000.0,409661.96,18.07,0,0,68449.95,47.4,0
B201806,Manufacturing,77,500000.0,363150.21,27.37,0,0,100497.5,48.19,0
B203794,Services,18,500000.0,375560.19,24.89,1,0,62645.08,48.31,0
B207175,IT,3,500000.0,404028.41,19.19,0,0,43765.09,55.57,0
B200749,IT,36,500000.0,299701.24,40.06,1,0,86955.26,39.51,0
B201409,IT,28,500000.0,408650.19,18.27,1,0,79570.07,47.46,0
B208652,Manufacturing,37,500000.0,391716.09,21.66,0,0,120166.15,51.49,0
B204560,,25,500000.0,437106.25,12.58,0,0,58625.25,57.16,0
B209195,Retail,26,500000.0,404086.72,19.18,0,0,76297.45,37.33,0
B207282,Manufacturing,43,500000.0,406372.51,18.73,0,0,77427.69,53.28,0
B202162,Food,20,500000.0,326633.21,34.67,0,0,134844.56,51.0,0
B204975,Services,6,500000.0,404569.44,19.09,1,1,69943.83,65.36,1
B206142,Services,17,500000.0,381577.87,23.68,1,1,80815.31,65.17,1
B202207,Retail,56,500000.0,408340.42,18.33,0,0,78557.72,48.28,0
B206175,Retail,25,500000.0,399101.64,20.18,0,0,51117.05,52.97,0
B204111,Retail,11,561196.37,442574.18,21.14,0,0,71503.0,38.91,0
B201080,Services,16,500000.0,361700.65,27.66,0,0,65702.31,38.85,0
B200622,Food,15,500000.0,357570.08,28.49,0,0,62512.73,49.66,0
B204961,IT,44,2537434.98,386185.54,22.76,0,0,,46.45,0
B201568,IT,3,2701755.29,409919.93,18.02,1,0,76462.47,57.47,0
B206796,Manufacturing,30,500000.0,455297.37,8.94,0,0,37827.19,63.43,1
B201887,IT,11,500000.0,394564.31,,0,0,39646.14,56.4,0
B201164,Healthcare,33,500000.0,405219.41,18.96,0,0,65747.92,52.02,0
B208589,Retail,26,500000.0,444302.43,,1,0,69119.18,45.69,0
B201210,Manufacturing,42,500000.0,421295.24,15.74,0,0,94935.21,58.17,0
B202024,Manufacturing,52,500000.0,406707.31,18.66,1,0,95951.6,58.7,0
B204648,Food,39,500000.0,361955.57,27.61,0,0,123596.43,55.03,0
B200338,Retail,22,500000.0,3093485.99,10.19,1,1,44057.69,59.39,0
B201246,Services,13,500000.0,385669.64,,0,0,46562.86,55.16,0
B203440,,28,500000.0,377321.99,24.54,0,0,82941.13,54.28,0
B202463,Retail,45,500000.0,410934.65,17.81,0,0,51823.94,61.2,1
B209882,Healthcare,19,544258.8,389840.1,28.37,0,0,108013.63,48.28,0
B209346,Services,36,500000.0,327642.72,34.47,0,0,36865.29,47.0,0
B202709,Manufacturing,34,500000.0,358495.31,,1,0,83556.12,46.42,0
B201785,Services,15,500000.0,1160429.83,27.03,0,0,96380.0,44.9,0
B207300,Manufacturing,41,500000.0,453750.08,9.25,1,0,300493.06,52.42,0
B205717,Retail,30,500000.0,441115.9,11.78,0,0,68925.05,58.29,0
B205539,Services,43,500000.0,390248.79,,0,0,69652.97,40.04,0
B207170,Healthcare,13,500000.0,393046.04,21.39,1,0,92975.48,49.28,0
