hour_of_day,day_of_week,is_weekend,is_peak_hour,active_users,requests_per_minute,avg_request_size_kb,api_calls_per_minute,db_queries_per_minute,background_jobs_count,cache_hit_ratio,allocated_cpu_cores,allocated_memory_gb,container_count,running_services_count,network_in_mbps,network_out_mbps,disk_read_ops,disk_write_ops,avg_response_time_ms,error_rate_percent,scheduled_job_flag,release_day_flag,cpu_usage_percent,memory_usage_percent
6,0,0,0,3040,3528.5931627768023,75.84903899087256,786.8498184902259,406.1628460735826,2,0.6530732512395904,4,12.039336759327018,18,59,36.26830103331043,39.27431113491946,251.50990352881539,392.21112536743624,88.90525150649376,0.6186930545523233,0,0,78.90896604914356,83.63048374842633
19,1,0,1,4693,3758.8872030922425,95.2577979309133,1056.6158444231703,775.4399177397187,1,0.5062952995579749,32,107.37163118474393,13,26,54.797336421453586,48.34998837899538,1124.970298863242,343.1552152243044,95.08482591281694,0.5339337817296672,0,0,87.71518651397815,65.73260854372532
14,5,1,0,1199,1476.1039976202221,66.24714382635925,383.40237866835633,381.5971536718558,3,0.8754119753095764,16,43.71654282737356,9,40,25.665953177103354,23.27012264400216,411.1074540368418,170.83641880178632,57.6394299421054,2.0956695606057223,0,0,42.231408658876,55.64919896167616
10,6,1,0,112,167.79281613531333,73.78188651449754,33.884015059826154,28.714087797815424,3,0.5664253286288568,32,107.6276117393045,7,26,1.5798429755324646,1.6776993253338282,42.82061511515287,18.56144122699529,70.40577231682231,0.7920955714781681,0,0,14.46777846937827,43.01903999774763
7,1,0,0,4989,5010.979711165675,6.535529970453114,2083.248967658624,751.3368467591505,1,0.5973084439847883,4,10.690940375383136,7,23,34.89198903554297,35.13548192435771,665.1326256710423,593.12601911839,113.56411895708932,1.7904060398104207,0,0,96.59503247344362,54.87285474337568
20,3,0,1,3203,3976.739204734185,65.29303568614311,1097.6341023996563,899.5465647992952,1,0.8149186747175678,4,12.57740839558706,1,13,72.42547962874018,84.16823538572653,1183.416231697966,503.60501326005385,73.67254825361042,1.2250668333074088,0,0,100.0,35.74410698782726
6,4,0,0,1058,849.8227977181854,71.18983122976462,385.1079098401171,128.49548493953603,1,0.802608268701477,4,13.272045988748825,2,15,9.630665883168492,10.250074730127148,184.63574851361284,97.97436419762245,48.117660094444545,1.179165032330684,0,0,27.428593007588592,31.69522268861926
18,2,0,1,2081,2545.1225761328915,82.05546776301945,1019.8607143300768,736.2250485046001,1,0.896550481504527,16,44.54185663421953,11,12,32.14138025514958,30.918058982507027,963.5810332701382,372.4870491708603,70.97945601904044,1.228703417186026,0,1,69.76619915034755,50.47324294569055
22,2,0,1,1372,1526.9644043744765,24.479920015759195,713.3232860796943,590.3041508460499,0,0.5658008835067787,32,98.81191779552242,3,5,12.434489742321272,10.618368204463021,476.20198014525073,407.02790584137125,59.78131792418493,1.745294242148625,0,0,44.959128329310765,26.344329953456683
10,3,0,0,2131,2495.8382970232537,32.75804017428564,1479.0980070043095,853.4844091938302,1,0.6056388601234414,4,8.130617888627416,8,26,13.904190990833003,11.58761363124416,637.0035013746002,234.42804248341568,87.35509441042109,0.42117213876682347,0,0,38.30694402249761,53.027465374777954
10,1,0,0,801,945.7675152729796,91.94053264461022,272.3333968691927,155.63941310804915,1,0.9205841506754312,16,47.232127901740064,11,51,12.022045894621076,12.007717795268787,127.61786585507733,44.63871529906039,56.45774817007456,0.771334438667028,0,0,25.62007038601483,63.04550429082535
23,2,0,1,4194,3874.698527270511,24.278464303147047,1806.9689825693113,1493.0786274371005,1,0.8197449959626295,8,29.140887897389426,4,6,40.20466435032397,41.433763609449976,2020.551084031433,394.29520709860293,98.40931436141624,0.8232488386970563,0,1,90.30218238077272,43.38002175129065
20,1,0,1,707,946.6572235180608,52.842998324362064,504.98894627572173,307.983871205603,2,0.5378951869259169,32,83.13225504643688,18,19,11.13027198641516,11.055350221366858,218.11000209800406,87.9670777738684,56.55402959885424,1.2551475048726328,0,0,45.48859142770642,55.57666498993727
3,5,1,0,1710,2032.8971363493756,33.80637518372299,1185.086515684976,297.80237734326795,2,0.545112921058104,8,20.2521081115994,4,33,16.029215864543453,15.602663292463166,189.11956451889262,65.57313067522983,78.47025611772295,1.2221827292247986,0,0,45.70471806124019,45.111903561066086
7,3,0,0,750,741.852091235922,67.69617191650163,333.0424296855441,203.1407677728396,4,0.7560355952647059,16,56.71720852612913,15,19,5.775359023357523,5.878761168883149,210.13384993303373,113.48946115057467,63.449823859311614,0.5472419234113015,1,0,34.45105612358613,45.49539139267067
23,6,1,1,1130,1645.468803333257,118.49015133281854,415.20708065981466,641.6400178640973,1,0.8603115744104024,4,10.56578827914301,18,47,19.51285717807657,18.836653860314772,432.68046427112785,294.0149394231538,67.40245430623628,1.7013580668987933,0,0,46.939218436248055,68.94337282620364
2,1,0,0,2206,1784.5251629882634,102.98435823300373,395.34220982583696,230.2527058906833,3,0.8088088589739705,8,22.224694118403242,9,22,14.966524836865188,12.352368968580366,173.50815076575407,210.09034365515774,66.15289642050875,1.934045544186568,0,0,47.78439740404823,46.54792351777989
21,5,1,1,1590,2079.9681191817654,35.98954909558286,647.7130037308087,377.10132423320334,1,0.8254273927475607,32,116.56302009815772,9,14,16.06209596613513,13.78326596933293,306.17556349105155,296.27129531042533,77.97131692561649,3.7919000828075404,0,0,54.134272835414585,41.95903763818096
20,1,0,1,3082,3288.0767895366357,47.3903582165209,1878.3563511470518,697.8203930901303,5,0.7745553572426297,16,34.057101458325704,15,59,23.616163007735004,19.99389491978667,352.97485763756816,343.21891276056516,92.63660184937548,0.8172941455187176,1,0,82.11190670185492,80.38940475718418
1,1,0,0,2033,2370.0335494391206,110.64286198725154,983.025289553564,319.192046614587,2,0.923051629499234,16,61.91436354932904,6,23,26.87555115117133,25.216536411479456,396.9171872504656,175.34088196849567,87.89172061816949,1.2757302324002628,0,0,53.54046252014409,46.2073029932694
23,2,0,1,364,365.47668415873426,108.30392182079493,157.78440378176987,69.35789770103915,3,0.9305192048666326,8,19.159868797356708,6,53,5.1466007478072004,4.265143563681289,81.11234380564726,44.720246922251064,38.924911935824795,0.8551468466176133,0,0,31.760064966226317,57.06349825651085
11,0,0,0,3131,3208.8883947163913,23.460724421595124,1425.5198258956352,987.3671452666626,1,0.7906757115718006,32,77.82973314694323,2,14,35.903205079986265,33.13996909335672,1054.1576167597973,820.2677041168845,81.97428268542922,1.4007298539669932,0,0,75.9072178153298,41.72454506663735
5,4,0,0,4783,3877.1780031387593,100.36618015177135,1290.6586647914976,942.8197194437577,1,0.8510186957576006,32,113.51912047652544,12,31,72.85770779225847,60.89974603072486,1350.3501909115153,429.60310756236817,80.38221891936892,2.1124915582962567,0,0,99.57235736929631,70.54877201811414
1,1,0,0,2364,3098.947652800456,39.22490905055696,844.8857907415452,701.3607564289058,1,0.7219773971119983,32,71.7705825724498,19,26,45.83063253757795,46.392596326105156,954.3752099660901,459.2545661722738,74.57861365906253,1.849720012688031,0,0,66.8812538242869,66.28557148091257
20,1,0,1,2185,2835.166169319699,67.53736332160099,1649.2067401876523,650.9024890973097,1,0.6292796829982453,32,73.01126888883634,17,53,30.73373023604964,35.89523684785965,946.6215161052686,359.49003660126874,59.927238240055054,2.9646989317166392,0,0,62.54654070945524,80.69456316624748
0,1,0,0,1699,2137.4282077443095,5.586314768372784,1073.3181866640398,700.8534681218877,2,0.8053995607373912,8,17.462258748154937,16,34,22.646616757990216,24.142353217111737,908.2174066023595,193.3282526414435,77.60872752229811,1.2119478713226206,0,0,48.369669090695346,68.02091436483366
11,0,0,0,3269,4624.214542380386,119.83787195305783,1870.125071407101,1837.5901443522273,1,0.8912625436915645,16,51.35934608163515,13,29,43.07433994382246,35.90281282220188,1813.8652159597839,1572.0560401530222,101.23147028327139,1.3439876910923882,0,0,97.09178221458335,66.99088564769254
21,5,1,1,3850,5508.91612960498,92.52609400957158,1931.8780999798398,1523.7319015120931,3,0.6260384226778277,16,58.93430995082289,2,19,55.0716564063362,45.20366709975759,1428.1685701418357,496.38806548606357,100.8222556033237,0.0,0,0,100.0,39.43546409798707
11,6,1,0,2528,3007.0838676549324,32.79930188835332,1182.1114623867722,978.7007222479812,2,0.800445165186939,32,75.5208200977336,4,7,31.478411605959266,35.05312462118691,1415.5536536342186,645.2929729849754,82.48579721541843,1.9902679450644847,0,0,64.64990563376682,29.722163606744594
16,6,1,0,4117,5267.192821788069,83.63641282599194,1124.3669968994482,1115.4226979817815,4,0.7988243744602552,4,11.16030808242521,10,13,48.83104184874603,40.51832513965043,1313.04452392523,750.8669309178725,131.22877904146213,1.0913242216883785,1,0,100.0,52.43738313513475
9,3,0,0,1825,1474.0504573675125,38.73034672470019,440.7372583874336,527.9931118120892,3,0.9410312503765208,4,13.440673731976798,19,38,9.610807653841514,11.241167568559533,395.11917571220465,190.87457108480677,64.3656880987277,0.6273092641387261,0,0,32.36579781269986,70.78341736012848
15,2,0,0,2016,2807.15932468468,15.287418608391903,842.9405456901849,634.6924036862534,3,0.8644561073820881,32,83.53062293886416,14,37,34.4533089044854,30.55893091396375,803.3638409153533,515.7178368957468,65.70780773721633,1.1077001034055702,0,0,74.17875111160498,62.42794445365848
14,0,0,0,1817,2491.996234150308,53.910644982219985,942.3208045209302,948.2965383123885,1,0.8894278602426767,8,19.10928383265162,5,27,29.3522218425745,29.20194224981642,1409.6598201974614,282.55225195455205,80.52701674621629,2.450321731858723,0,0,63.84836025544625,42.92815004434189
